Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C2, ",2,10uF,0805,C15850
"C3, ",1,10uF,0603,C19702
"C4, C5, C6, C7, C8, C9, ",6,100nF,0402,C1525
"C10, ",1,1uF,0402,C52923
"C11, ",1,4.7uF,0603,C19666
"C12, C13, ",2,12pF,0402,C1547
"D1, ",1,B5819W,SOD-123,C8598
"D2, D3, ",2,Red,0603,C2286
"F1, ",1,500mA,1206,
"FB1, FB2, ",2,100 @ 100MHz,0805,C1015
"HSE1, ",1,16MHz,SMD-3225_4P,C13738
"J1, ",1,USART,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
"J2, ",1,Conn_02x05_Odd_Even,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD,
"J3, ",1,OLED,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,
"J4, ",1,Power Connector,Connector_USB:USB_Micro-B_Wuerth_629105150521,
"R1, R5, ",2,2k2,0603,C4190
"R2, R3, ",2,10k,0402,C25744
"R4, ",1,220,0402,C25091
"SW1, ",1,Encoder 1,Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
"SW2, ",1,Encoder 2,Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
"U1, ",1,AMS1117-3.3,SOT-223-3,C6186
"U2, ",1,STM32F401RET6,Package_QFP:LQFP-64_10x10mm_P0.5mm,C116978
